Agency Name,State Name [District] Latest available year,Agency ID - NCES Assigned [District] Latest available year,Full-Time Equivalent (FTE) Teachers [District] 2009-10,Full-Time Equivalent (FTE) Teachers [Public School] 2009-10,Pupil/Teacher Ratio [District] 2009-10,Pupil/Teacher Ratio [Public School] 2009-10,Prekindergarten Teachers [District] 2009-10,Kindergarten Teachers [District] 2009-10,Elementary Teachers [District] 2009-10,Secondary Teachers [District] 2009-10,Ungraded Teachers [District] 2009-10,Total Staff [District] 2009-10,Instructional Aides [District] 2009-10,Instructional Coordinators [District] 2009-10,Elementary Guidance Counselors [District] 2009-10,Secondary Guidance Counselors [District] 2009-10,Other Guidance Counselors [District] 2009-10,Total Guidance Counselors [District] 2009-10,Librarians/Media Specialists [District] 2009-10,Library Media Support Staff [District] 2009-10,LEA Administrators [District] 2009-10,LEA Administrative Support Staff [District] 2009-10,School Administrators [District] 2009-10,School Administrative Support Staff [District] 2009-10,Student Support Services Staff [District] 2009-10,Other Support Services Staff [District] 2009-10
HAMPTON BAYS UNION FREE SCHOOL DISTRICT,New York,3613530,151.98,143.82,12.61,13.32,0,10.10,54.15,59.92,27.81,283.88,50.00,1.00,0,2.00,†,2.00,3.00,3.00,3.10,16.00,8.00,="0.90",6.00,38.90
HAMPTON BOROUGH PUBLIC SCHOOL DISTRICT,New Jersey,3406600,22.00,16.00,7.09,9.75,1.00,1.00,12.00,2.00,6.00,34.00,3.00,0,0,0,†,0,1.00,–,2.00,2.00,0,0,2.00,2.00
HAMPTON CITY PBLC SCHS,Virginia,5101800,1251.73,1251.73,17.23,17.23,36.00,74.00,466.20,675.53,†,3409.00,0,286.50,23.50,41.00,4.00,68.50,39.50,18.50,31.00,70.67,97.00,86.50,293.00,1166.10
HAMPTON FALLS SCHOOL DISTRICT,New Hampshire,3303540,26.40,26.40,10.34,10.27,0,1.00,25.40,0,†,52.60,10.80,–,="0.50",0,†,="0.50",1.00,0,0,0,1.00,2.00,–,10.90
HAMPTON PUBLIC SCHOOLS,Nebraska,3171370,18.27,18.27,10.78,10.78,1.00,1.00,6.76,9.51,†,31.00,2.75,1.00,="0.25",="0.24",†,="0.49",="0.50",0,1.00,1.00,="0.99",0,1.00,4.00
HAMPTON SAU OFFICE,New Hampshire,3399921,0,†,†,†,0,0,0,0,†,14.40,0,–,0,0,†,0,0,0,3.00,11.40,0,0,–,0
HAMPTON SCHOOL DISTRICT,New Hampshire,3303510,109.00,109.00,11.38,11.29,1.00,7.00,101.00,0,†,206.10,28.80,–,4.00,0,†,4.00,3.00,0,0,0,5.50,9.00,–,46.80
HAMPTON SCHOOL DISTRICT,Connecticut,="0901890",13.55,12.85,10.55,11.13,1.50,1.00,10.35,0,="0.70",36.11,9.21,="0.14",="0.86",0,†,="0.86",="0.70",="0.57",1.31,0,1.80,="0.08",1.46,6.43
HAMPTON SCHOOL DISTRICT,Arkansas,="0507230",48.00,48.00,13.06,13.06,1.00,5.00,17.00,22.00,3.00,101.00,11.00,2.00,1.00,1.00,†,2.00,2.00,0,1.00,4.00,2.00,5.00,8.00,16.00
HAMPTON SD 29,Illinois,1718090,16.20,13.65,15.80,18.61,0,1.00,15.20,0,0,19.20,–,1.00,0,0,†,0,0,–,1.00,–,0,–,1.00,–
HAMPTON TOWNSHIP SCHOOL DISTRICT,New Jersey,3406630,38.00,33.00,10.95,12.55,0,2.00,24.00,7.00,5.00,61.00,9.00,0,0,0,†,0,1.00,–,2.00,2.00,1.00,1.00,4.00,3.00
HAMPTON TOWNSHIP SD,Pennsylvania,4211400,143.94,143.94,21.58,21.58,0,3.57,67.49,61.97,10.91,375.13,32.00,1.00,2.50,4.50,†,7.00,4.80,4.00,6.00,10.00,8.00,9.00,67.39,82.00
HAMPTON-DUMONT COMM SCHOOL DISTRICT,Iowa,1913470,99.75,98.75,12.59,12.48,5.00,7.29,42.00,45.46,†,179.35,24.40,1.50,2.00,1.00,†,3.00,1.00,2.70,2.00,1.80,5.00,5.80,0,32.40
HAMSHIRE-FANNETT ISD,Texas,4822320,132.28,132.29,13.28,13.28,2.00,6.31,52.05,59.86,12.06,172.49,17.50,1.00,–,–,3.89,3.89,3.14,0,3.00,1.00,6.68,0,4.00,0
HAMTRAMCK ACADEMY,Michigan,2600287,25.00,25.00,19.40,19.20,0,3.00,13.00,5.00,4.00,39.49,6.11,0,0,0,†,0,1.00,0,0,0,1.00,2.38,1.00,3.00
HAMTRAMCK SCHOOL DISTRICT OF THE CITY OF,Michigan,2617520,157.60,157.60,20.12,19.91,3.00,7.00,64.40,64.55,18.65,383.29,33.74,21.85,0,2.00,1.00,3.00,2.00,0,3.25,1.50,11.00,38.20,18.20,92.95
HANCOCK,Massachusetts,2505760,5.50,5.50,7.45,7.45,="0.50",1.48,3.52,0,†,9.85,1.50,0,0,0,†,0,0,0,="0.60",="0.80",="0.20",="0.10",1.15,0
HANCOCK CENTRAL SCHOOL DISTRICT,New York,3613560,49.22,47.03,9.14,9.57,1.00,2.40,19.14,20.00,6.68,114.22,12.50,0,="0.52",1.48,†,2.00,1.50,1.00,1.00,9.00,1.60,="0.35",2.05,34.00
HANCOCK CO SCHOOL DIST,Mississippi,2801740,281.39,268.89,15.71,16.44,1.83,16.40,101.84,106.69,54.63,553.06,71.33,5.38,4.70,7.68,†,12.38,5.38,0,6.00,17.00,15.00,24.00,17.69,97.51
HANCOCK COUNTY,Kentucky,2102460,107.50,85.50,16.02,20.14,3.00,5.00,54.50,27.00,18.00,322.80,52.50,2.00,–,–,3.00,3.00,3.00,0,6.30,10.80,13.30,18.70,4.40,101.30
HANCOCK COUNTY,Georgia,1302640,106.30,92.40,11.58,13.32,18.60,4.00,44.00,39.70,0,238.80,17.00,5.20,1.00,2.00,†,3.00,3.00,0,7.30,5.00,4.00,8.00,8.50,71.50
HANCOCK COUNTY,Tennessee,4701620,95.83,†,11.71,13.20,7.00,6.00,40.00,36.83,6.00,220.83,54.00,3.00,1.00,1.00,1.00,3.00,3.00,0,1.00,2.00,4.00,3.00,1.00,51.00
HANCOCK COUNTY ESC,Ohio,3904740,16.53,†,0,†,6.00,0,5.07,3.18,2.28,88.99,30.52,1.00,–,–,†,–,0,0,4.00,15.92,0,0,13.62,7.40
HANCOCK COUNTY SCHOOLS,West Virginia,5400450,298.00,299.50,14.47,14.39,1.00,16.00,97.00,184.00,†,564.51,51.51,6.00,2.00,7.00,†,9.00,3.00,–,10.00,20.50,18.00,6.50,26.00,116.00
HANCOCK PLACE,Missouri,2913620,124.92,124.02,13.71,13.81,2.80,6.00,56.19,59.93,†,208.17,0,1.04,2.00,4.00,†,6.00,2.91,0,3.00,21.00,7.50,4.00,3.80,34.00
HANCOCK PUBLIC SCHOOL DISTRICT,Minnesota,2713380,18.83,18.83,14.23,14.02,0,1.00,8.84,8.99,0,38.35,8.29,0,0,0,†,0,="0.17",0,1.85,0,="0.50",1.25,2.57,4.89
HANCOCK PUBLIC SCHOOLS,Michigan,2617550,47.30,47.30,18.33,18.14,0,2.50,15.90,24.90,4.00,77.20,6.00,="0.90",="0.40",0,="0.80",1.20,="0.80",0,="0.50",0,2.50,3.00,2.25,12.75
HANCOCK/MCDONOUGH ROE,Illinois,1700186,7.80,†,0,30.00,0,2.00,1.00,4.80,0,8.80,–,0,0,0,†,0,0,–,1.00,–,0,–,0,–
HANFORD ELEMENTARY,California,="0616470",265.00,265.00,21.03,21.03,–,–,253.86,11.14,†,419.50,67.00,–,–,–,†,–,–,–,10.50,–,22.00,–,9.00,46.00
HANFORD JOINT UNION HIGH,California,="0616500",152.51,152.51,25.43,25.43,–,–,6.71,145.80,†,265.31,28.00,–,–,–,†,–,–,–,4.00,–,13.00,–,16.80,51.00
HANKINSON 8,North Dakota,3808710,23.93,23.93,12.45,12.45,0,1.10,11.52,11.31,†,38.21,1.21,0,–,–,="0.70",="0.70",1.00,0,2.00,1.00,1.60,1.00,0,5.77
HANLEY INTERNATIONAL ACADEMY,Michigan,2600305,34.10,33.10,18.21,18.55,0,4.00,19.00,7.00,4.10,55.70,2.00,3.00,0,0,†,0,0,0,0,0,4.00,3.00,7.60,2.00
HANNA,Oklahoma,4013680,7.70,7.70,32.34,32.34,="0.40",="0.50",4.50,2.30,†,18.20,1.00,0,="0.10",="0.20",†,="0.30",="0.10",1.00,1.00,2.30,0,0,1.10,3.70
HANNIBAL 60,Missouri,2913650,312.19,312.65,11.69,11.67,13.00,18.37,132.19,148.63,†,575.72,21.00,2.00,3.00,9.00,="0.85",12.85,2.00,0,5.00,41.00,11.00,19.00,24.68,125.00
HANNIBAL CENTRAL SCHOOL DISTRICT,New York,3613590,115.13,111.90,14.04,14.45,2.00,8.93,45.80,38.90,19.50,253.73,32.00,0,0,2.80,†,2.80,1.00,3.00,4.00,13.50,5.00,2.00,6.00,69.30
HANOVER,Massachusetts,2505790,203.10,203.10,13.28,13.28,3.33,9.63,128.69,61.45,†,310.71,37.25,0,2.00,3.00,†,5.00,1.00,2.00,4.00,6.00,14.00,15.50,22.86,0
HANOVER AREA SD,Pennsylvania,4211420,135.50,135.50,14.87,14.87,0,8.00,64.75,53.57,9.18,264.00,4.00,0,3.00,3.00,†,6.00,3.00,0,6.00,0,7.00,16.00,6.00,80.50
HANOVER CO PBLC SCHS,Virginia,5101830,1043.52,1043.51,18.07,18.07,17.00,64.00,398.73,563.79,†,3059.52,268.39,251.00,18.50,27.00,†,45.50,23.00,18.00,27.00,46.39,63.00,100.00,105.00,1068.72
HANOVER COMMUNITY SCHOOL CORP,Indiana,1804350,92.00,91.94,21.87,21.88,0,7.00,47.00,38.00,0,234.00,62.00,0,0,2.00,†,2.00,0,3.00,3.00,1.00,4.00,13.00,1.00,53.00
HANOVER PARK REGIONAL HIGH SCHOOL DISTRICT,New Jersey,3406660,127.00,108.00,11.73,13.59,0,0,18.00,101.00,8.00,253.00,11.00,5.00,0,8.00,†,8.00,2.00,–,2.00,6.00,8.00,12.00,9.00,63.00
HANOVER PUBLIC SD,Pennsylvania,4211450,126.00,126.00,13.06,13.06,0,6.00,56.19,55.34,8.47,242.50,14.00,1.00,2.00,3.00,†,5.00,3.00,2.00,4.00,12.00,7.00,10.00,2.00,56.50
HANOVER SAU OFFICE,New Hampshire,3300018,0,†,†,†,0,0,0,0,†,10.30,0,–,0,0,†,0,0,0,3.00,7.30,0,0,–,0
HANOVER SCHOOL DISTRICT,New Hampshire,3303600,37.80,37.80,15.82,13.57,0,3.50,34.30,0,†,101.40,43.00,–,1.30,0,†,1.30,1.00,1.00,0,0,2.00,2.40,–,12.90
HANOVER TOWNSHIP BOARD OF EDUCATION,New Jersey,3406690,126.00,101.00,12.33,15.29,2.00,4.00,96.00,13.00,11.00,252.00,38.00,1.00,3.00,0,†,3.00,4.00,–,3.00,9.00,5.00,9.00,17.00,37.00
HANOVER SCHOOL DISTRICT NO. 28 IN THE COUNTY OF EL PASO AN,Colorado,="0804500",25.09,25.08,10.60,10.61,1.25,2.09,11.68,10.07,†,57.19,4.85,0,0,1.14,†,1.14,0,1.06,2.00,2.32,2.39,3.00,2.15,13.19
HANOVER-HORTON SCHOOL DISTRICT,Michigan,2617640,73.40,73.40,18.41,18.22,1.00,4.00,23.59,39.81,5.00,137.85,3.09,1.20,="0.50",2.00,†,2.50,1.00,0,3.00,1.00,3.90,8.92,9.14,30.70
HANSEN DISTRICT,Idaho,1601410,31.34,31.34,12.99,12.99,1.00,2.00,14.50,13.84,†,50.12,1.64,0,="0.44",="0.56",†,1.00,0,="0.69",="0.86",1.00,1.86,1.46,1.50,8.77
HANSON SCHOOL DISTRICT 30-1,South Dakota,4602640,31.68,31.68,11.84,11.84,0,1.00,16.62,8.06,6.00,57.51,7.50,0,–,–,1.01,1.01,0,1.00,3.04,0,1.93,1.85,="0.90",8.60
HANSTON,Kansas,2006900,4.60,4.60,3.91,3.70,0,0,0,4.60,0,13.30,="0.20",0,0,="0.30",†,="0.30",="0.10",="0.10",="0.40",1.00,1.10,="0.80",="0.40",4.30
HAPPY CAMP UNION ELEMENTARY,California,="0616530",9.00,9.00,12.78,12.78,–,–,8.61,="0.39",†,17.00,7.00,–,–,–,†,–,–,–,1.00,–,0,–,0,0
HAPPY ISD,Texas,4822350,23.53,23.53,10.37,10.37,0,1.10,8.65,12.74,1.04,41.52,5.50,0,–,–,†,–,0,0,="0.68",="0.50",="0.79",1.00,="0.58",8.94
HAPPY VALLEY ELEMENTARY,California,="0616560",6.17,6.17,20.75,20.75,–,–,6.17,0,†,16.33,8.00,–,–,–,†,–,–,–,0,–,="0.98",–,="0.18",1.00
HAPPY VALLEY SCHOOL  INC.,Arizona,="0400406",0,†,†,†,0,0,0,0,†,–,0,0,0,0,†,0,0,0,0,0,0,0,0,0
HAPPY VALLEY UNION ELEMENTARY,California,="0616570",25.50,25.50,20.27,20.27,–,–,23.16,2.34,†,37.00,2.00,–,–,–,†,–,–,–,="0.50",–,2.00,–,2.00,5.00
HARALSON COUNTY,Georgia,1302670,268.80,269.10,14.22,14.21,13.00,17.00,138.40,100.40,0,557.50,81.50,1.40,4.00,4.00,†,8.00,6.00,3.00,9.00,4.00,19.00,25.00,16.50,115.30
HARBOR BEACH COMMUNITY SCHOOLS,Michigan,2600007,31.54,31.54,18.52,18.33,0,1.00,8.82,15.69,6.03,66.69,9.58,0,0,0,†,0,0,0,2.00,2.01,2.00,4.00,1.50,14.06
HARBOR CITY INTERNATIONAL CHARTER,Minnesota,2700209,15.66,15.66,12.77,12.77,0,0,0,15.66,0,29.31,6.20,="0.13",0,1.00,†,1.00,0,0,2.00,0,="0.17",0,3.15,1.00
HARBOR CREEK SD,Pennsylvania,4211490,158.00,155.00,12.72,12.96,0,8.15,68.94,70.82,10.09,264.00,27.00,2.00,1.00,4.00,†,5.00,2.00,5.00,3.00,0,7.00,8.00,3.00,44.00
HARBOR SCIENCE AND ARTS CHARTER SCHOOL,New York,3600047,18.00,18.00,12.00,12.00,0,0,11.20,4.80,2.00,18.00,0,0,0,0,†,0,0,0,0,0,0,0,0,0
HARBOR SPRINGS SCHOOL DISTRICT,Michigan,2617700,66.83,66.83,15.47,15.32,0,5.00,22.11,33.72,6.00,132.76,8.26,1.50,1.00,1.70,†,2.70,1.00,0,2.00,1.00,4.00,7.30,9.95,28.22
HARBORFIELDS CENTRAL SCHOOL DISTRICT,New York,3613620,236.37,236.05,15.50,15.52,0,8.48,98.76,88.62,40.51,491.23,85.30,1.00,0,7.00,†,7.00,4.00,0,4.40,54.00,11.00,2.66,13.60,71.90
HARDEE,Florida,1200750,351.50,327.00,14.31,15.39,4.00,27.00,134.00,125.00,61.50,687.50,70.00,0,5.00,5.00,†,10.00,6.00,2.00,9.00,63.00,16.00,11.00,18.00,131.00
HARDEMAN COUNTY,Tennessee,4701650,325.45,317.45,13.12,13.45,11.00,19.00,190.50,99.95,5.00,689.45,94.00,9.00,6.00,5.00,4.00,15.00,9.00,5.00,2.00,5.00,14.00,18.00,14.00,179.00
HARDEMAN R-X,Missouri,2927330,6.53,6.48,7.96,8.02,0,="0.50",6.03,0,†,12.25,0,0,0,0,†,0,0,0,="0.20",1.00,="0.32",0,1.20,3.00
HARDESTY,Oklahoma,4013740,12.50,12.50,7.60,7.60,="0.50",="0.50",7.40,4.10,†,21.40,1.70,0,0,0,†,0,="0.20",1.00,1.00,1.20,="0.50",0,0,3.30
HARDIN COUNTY,Tennessee,4701680,278.41,276.41,13.70,13.79,6.00,20.00,166.00,79.00,7.41,576.91,73.50,5.00,9.00,2.00,†,11.00,11.00,1.00,1.00,3.00,16.00,16.00,5.00,156.00
HARDIN COUNTY,Kentucky,2102490,908.40,652.40,15.91,22.06,17.00,46.00,265.50,194.40,385.50,2376.90,354.80,12.50,–,–,35.50,35.50,22.00,0,10.80,63.10,77.60,130.70,54.40,707.10
HARDIN COUNTY CUSD 1,Illinois,1718200,46.44,45.44,13.35,13.56,1.00,3.00,24.00,18.44,0,51.84,–,0,0,0,†,0,0,–,="0.89",–,2.51,–,2.00,–
HARDIN COUNTY ESC,Ohio,3904748,13.00,†,0,†,4.00,="0.42",3.50,3.08,2.00,57.94,18.00,0,–,–,†,–,0,0,1.05,7.51,0,0,16.38,2.00
HARDIN ELEM,Montana,3013310,97.12,97.13,12.74,12.74,–,–,97.12,0,†,170.33,50.07,4.37,4.00,0,†,4.00,4.00,–,="0.50",–,4.00,–,6.27,–
HARDIN H S,Montana,3013340,36.43,36.43,12.74,12.74,–,–,0,36.43,†,55.03,12.28,="0.34",0,2.00,†,2.00,1.00,–,="0.50",–,2.00,–,="0.48",–
HARDIN ISD,Texas,4822380,94.09,94.19,13.21,13.20,2.00,5.00,41.60,43.32,2.17,184.92,21.00,1.00,–,–,3.00,3.00,1.00,0,2.50,3.00,4.91,6.00,2.00,46.42
HARDIN NORTHERN LOCAL,Ohio,3904749,36.24,32.25,13.55,15.22,0,2.26,15.12,17.82,1.04,60.65,1.00,0,–,–,†,–,="0.50",1.00,2.00,2.10,2.00,3.00,1.81,11.00
HARDIN-CENTRAL C-2,Missouri,2913680,23.92,23.73,9.45,9.52,1.20,1.12,9.38,12.22,†,36.37,3.40,0,="0.49",="0.23",†,="0.72",="0.60",0,="0.98",2.00,1.17,0,="0.08",3.50
HARDIN-HOUSTON LOCAL,Ohio,3904979,53.49,48.59,15.65,17.23,0,3.42,21.08,23.34,5.65,110.82,10.00,0,–,–,2.00,2.00,1.00,1.00,2.00,8.64,2.00,5.00,4.00,21.69
HARDIN-JEFFERSON ISD,Texas,4822410,160.42,160.41,12.55,12.56,2.00,10.09,67.53,71.91,8.89,339.31,37.41,1.49,–,–,5.00,5.00,1.00,0,3.00,6.00,12.35,8.66,10.75,93.23
HARDING COUNTY SCHOOL DISTRICT 31-1,South Dakota,4609300,25.44,25.44,8.33,8.33,0,="0.60",10.73,7.60,6.51,42.88,2.00,0,–,–,1.00,1.00,="0.76",0,3.25,0,="0.99",0,2.24,7.20
HARDING TOWNSHIP,New Jersey,3406720,34.00,28.00,9.35,11.18,0,2.00,20.00,7.00,5.00,62.00,9.00,0,1.00,0,†,1.00,1.00,–,2.00,3.00,1.00,2.00,4.00,5.00
HARDWICK SCHOOL DISTRICT,Vermont,5004560,24.90,24.90,9.96,9.80,0,2.60,20.30,0,2.00,56.05,16.55,0,1.60,0,†,1.60,1.00,="0.40",0,0,1.00,1.60,1.00,8.00
HARDY COUNTY SCHOOLS,West Virginia,5400480,146.50,145.00,15.75,15.91,0,9.00,52.23,85.27,†,286.01,24.00,1.00,1.00,4.00,†,5.00,6.00,–,6.51,3.50,9.50,1.50,9.50,73.00
HARDY WILLIAMS ACADEMY CS,Pennsylvania,4200062,48.00,48.00,17.71,17.71,0,5.00,30.50,8.50,4.00,113.50,14.00,2.00,="0.50",="0.50",†,1.00,0,0,3.00,3.00,3.00,3.00,2.00,34.50
HARDYSTON TOWNSHIP SCHOOL DISTRICT,New Jersey,3406780,58.00,44.00,12.81,16.89,2.00,1.00,40.00,10.00,5.00,93.00,3.00,0,2.00,0,†,2.00,1.00,–,2.00,4.00,2.00,5.00,7.00,9.00
HARFORD COUNTY PUBLIC SCHOOLS,Maryland,2400390,2724.11,2721.10,14.18,14.20,23.00,152.00,1387.45,1161.66,†,5191.31,396.70,76.00,47.95,48.75,†,96.70,60.70,46.50,115.00,96.20,174.00,500.37,185.00,720.03
HARLAN COMM SCHOOL DISTRICT,Iowa,1913500,123.50,123.50,12.19,13.13,5.35,7.05,51.03,60.07,†,230.80,39.10,2.00,3.00,2.00,†,5.00,2.00,1.80,2.00,2.00,5.00,9.20,="0.40",38.80
HARLAN COUNTY,Kentucky,2102540,273.20,167.90,15.53,25.27,0,15.00,122.00,57.90,78.30,762.00,73.10,11.00,–,–,12.00,12.00,10.00,0,7.70,27.30,34.40,61.50,26.10,225.70
HARLAN INDEPENDENT,Kentucky,2102520,60.50,†,16.21,17.24,4.90,3.00,21.60,26.00,5.00,144.50,26.10,1.00,–,–,3.00,3.00,1.00,0,3.00,7.70,4.70,8.50,3.90,25.10
HARLANDALE ISD,Texas,4822470,974.98,971.98,14.89,14.94,57.62,63.74,376.15,363.01,114.46,2044.22,194.01,20.00,–,–,35.87,35.87,17.01,3.00,9.80,57.90,81.43,85.00,51.12,514.10
HARLEM CHILDREN'S ZONE PROMISE ACADEMY CHARTER SCHOOL,New York,3600108,55.99,56.00,13.95,13.95,0,5.50,36.83,10.16,3.50,55.99,0,0,0,0,†,0,0,0,0,0,0,0,0,0
HARLEM CHILDREN'S ZONE PROMISE ACADEMY II CHARTER SCHOOL,New York,3600140,33.84,32.60,12.09,12.55,0,6.08,24.77,0,2.99,33.84,0,0,0,0,†,0,0,0,0,0,0,0,0,0
HARLEM ELEM,Montana,3013395,38.34,38.34,10.02,10.02,–,–,38.34,0,†,54.73,9.00,="0.50",1.66,0,†,1.66,="0.23",–,="0.50",–,2.25,–,2.25,–
HARLEM H S,Montana,3013400,14.57,14.57,9.81,9.81,–,–,0,14.57,†,18.80,0,="0.50",0,1.23,†,1.23,="0.50",–,="0.50",–,="0.75",–,="0.75",–
HARLEM LINK CHARTER SCHOOL,New York,3600138,31.00,30.00,9.87,10.20,0,4.00,21.00,0,6.00,31.00,0,0,0,0,†,0,0,0,0,0,0,0,0,0
HARLEM PREP CHARTER SCHOOL,New York,3600068,23.40,23.40,10.30,10.30,0,3.00,18.40,0,2.00,24.40,0,0,0,0,†,0,1.00,0,0,0,0,0,0,0
HARLEM SUCCESS ACADEMY CHARTER SCHOOL,New York,3600169,33.48,32.00,15.65,16.38,3.00,5.81,20.68,0,3.99,33.48,0,0,0,0,†,0,0,0,0,0,0,0,0,0
HARLEM SUCCESS ACADEMY CHARTER SCHOOL 2,New York,3600954,24.05,24.40,15.09,14.88,0,8.85,13.21,0,1.99,24.05,0,0,0,0,†,0,0,0,0,0,0,0,0,0
HARLEM SUCCESS ACADEMY CHARTER SCHOOL 3,New York,3600962,16.39,16.00,15.19,15.56,0,4.91,10.48,0,1.00,16.39,0,0,0,0,†,0,0,0,0,0,0,0,0,0
HARLEM SUCCESS ACADEMY CHARTER SCHOOL 4,New York,3600953,15.99,16.00,15.51,15.50,0,4.22,10.77,0,1.00,15.99,0,0,0,0,†,0,0,0,0,0,0,0,0,0
HARLEM UD 122,Illinois,1718240,502.44,459.32,15.43,16.77,14.00,18.00,297.32,173.12,0,590.64,–,2.00,8.00,7.00,†,15.00,12.40,–,7.00,–,18.44,–,33.36,–
HARLEM VILLAGE ACADEMY CHARTER SCHOOL EHVACS,New York,3600080,35.96,35.98,9.29,9.28,0,0,15.15,18.82,1.99,35.96,0,0,0,0,†,0,0,0,0,0,0,0,0,0
HARLEM VILLAGE ACADEMY LEADERSHIP CHARTER SCHOOL,New York,3600141,26.98,26.99,10.71,10.71,0,0,12.72,12.27,1.99,26.98,0,0,0,0,†,0,0,0,0,0,0,0,0,0
HARLETON ISD,Texas,4822500,59.46,59.47,12.39,12.39,1.00,3.17,20.25,30.24,4.80,117.01,13.62,1.00,–,–,2.00,2.00,1.00,2.00,2.00,2.00,1.54,4.00,1.00,27.39
HARLINGEN CISD,Texas,4822530,1230.37,1230.37,14.80,14.80,29.31,71.01,512.34,529.55,88.16,2608.93,329.24,2.00,–,–,55.11,55.11,21.57,14.92,5.93,84.07,84.70,96.71,64.74,619.57
HARLOWTON ELEM,Montana,3013440,21.29,21.29,10.15,10.15,–,–,21.29,0,†,31.92,7.75,0,="0.67",0,†,="0.67",="0.75",–,="0.50",–,="0.96",–,0,–
HARLOWTON H S,Montana,3013470,8.72,8.72,8.03,8.03,–,–,0,8.72,†,10.79,="0.25",0,0,="0.32",†,="0.32",="0.25",–,="0.50",–,="0.75",–,0,–
HARMONY,Oklahoma,4013830,17.20,17.20,13.84,13.84,1.00,2.00,14.20,0,†,39.80,7.60,0,="0.20",0,†,="0.20",1.00,0,1.00,0,0,2.70,2.20,7.90
HARMONY AREA SD,Pennsylvania,4211520,23.65,23.65,16.19,16.19,1.30,1.40,9.45,11.50,0,69.50,12.50,="0.50",="0.20",="0.60",†,="0.80",="0.60",0,1.00,6.00,1.17,3.00,13.28,7.00
HARMONY COMM SCHOOL DISTRICT,Iowa,1913530,25.66,25.66,16.91,15.59,2.00,2.00,11.00,10.66,†,62.66,18.00,0,0,0,†,0,0,0,2.00,3.00,0,2.00,0,12.00
HARMONY EMGE SD 175,Illinois,1714220,48.00,48.00,15.73,15.73,3.00,0,43.00,2.00,0,53.40,–,0,0,0,†,0,1.00,–,1.00,–,1.00,–,2.40,–
HARMONY GROVE SCHOOL DISTRICT,Arkansas,="0507290",89.00,89.00,11.93,11.93,0,9.00,33.00,44.00,3.00,173.00,17.00,3.00,2.00,2.00,†,4.00,3.00,0,1.00,10.00,4.00,4.00,15.00,23.00
HARMONY GROVE SCHOOL DISTRICT,Arkansas,="0507320",96.00,96.00,11.15,11.15,0,7.00,48.00,35.00,6.00,159.00,12.00,2.00,1.00,2.00,†,3.00,2.00,0,2.00,7.00,3.00,7.00,11.00,14.00
HARMONY ISD,Texas,4822560,83.95,83.95,12.77,12.77,1.09,4.59,32.06,41.07,5.14,162.64,22.00,1.00,–,–,3.00,3.00,1.00,0,2.00,7.00,8.00,3.00,2.30,29.39
HARMONY PUBLIC SCHOOLS,Maine,2306330,9.10,8.10,15.27,12.47,0,1.00,8.10,0,†,22.50,6.10,0,="0.20",0,†,="0.20",0,0,0,0,1.10,1.20,1.70,3.10
HARMONY SCHOOL OF EXCELLENCE,Texas,4800274,69.30,69.29,16.23,16.24,0,4.73,36.10,27.42,1.05,80.89,0,0,–,–,†,–,="0.94",0,0,0,4.71,4.00,1.00,="0.94"
HARMONY SCHOOL OF INNOVATION,Texas,4800273,54.02,54.02,18.60,18.60,0,2.10,32.13,10.67,9.12,117.67,7.00,0,–,–,†,–,0,1.00,6.00,38.89,5.76,3.00,1.00,1.00
HARMONY SCHOOL OF SCIENCE - HOUSTON,Texas,4801405,33.94,33.94,18.27,18.27,0,2.58,15.42,14.80,1.14,41.80,2.00,0,–,–,†,–,0,0,0,0,2.86,2.00,1.00,0
HARMONY SCHOOL OF SCIENCE AUSTIN,Texas,4800281,33.35,33.35,15.77,15.77,0,="0.54",22.24,8.77,1.80,42.25,2.00,0,–,–,†,–,0,0,1.00,0,3.90,1.00,1.00,0
HARMONY SCIENCE ACAD (BEAUMONT),Texas,4800282,26.42,26.42,19.00,19.00,0,2.05,14.23,8.02,2.12,33.06,1.78,0,–,–,†,–,0,0,0,0,2.86,1.00,1.00,0
HARMONY SCIENCE ACAD (COLLEGE STATION),Texas,4800290,15.10,15.10,18.15,18.15,0,1.27,7.41,6.40,="0.02",20.87,1.00,0,–,–,†,–,0,0,0,0,1.90,1.00,0,1.87
HARMONY SCIENCE ACAD (EL PASO),Texas,4800272,62.11,62.12,17.90,17.90,0,2.21,29.68,27.45,2.77,76.87,1.87,0,–,–,†,–,0,0,0,0,5.89,4.00,2.00,1.00
HARMONY SCIENCE ACAD (FORT WORTH),Texas,4800280,113.83,113.82,17.11,17.11,0,5.33,58.53,34.33,15.64,138.38,2.00,0,–,–,†,–,0,0,1.00,0,9.69,5.97,2.89,3.00
HARMONY SCIENCE ACAD (LUBBOCK),Texas,4800293,26.33,26.33,14.39,14.39,0,1.31,13.82,9.27,1.93,33.21,1.00,0,–,–,†,–,0,0,1.00,0,2.88,1.00,1.00,0
HARMONY SCIENCE ACAD (SAN ANTONIO),Texas,4800266,46.90,46.90,16.38,16.38,0,2.46,21.66,22.78,0,55.74,0,1.00,–,–,†,–,="0.85",0,1.00,0,3.99,1.00,1.00,0
HARMONY SCIENCE ACAD (WACO),Texas,4800292,29.06,29.06,14.90,14.90,0,1.00,14.68,10.89,2.49,33.87,0,0,–,–,†,–,0,0,0,0,1.94,0,2.00,="0.87"
